postac_A,postac_B,sila
JACK,WILL,23
ELIZABETH,JACK,13
ELIZABETH,WILL,8
BARBOSSA,PINTEL,8
GIBBS,WILL,7
JACK,NORRINGTON,7
ELIZABETH,PINTEL,6
BARBOSSA,ELIZABETH,6
GIBBS,JACK,6
BARBOSSA,JACK,6
BARBOSSA,WILL,6
ELIZABETH,NORRINGTON,5
NORRINGTON,SWANN,5
MULLROY,MURTOGG,4
ANAMARIA,JACK,4
ANAMARIA,WILL,4
JACK,PINTEL,4
ELIZABETH,GIBBS,3
NORRINGTON,WILL,3
ELIZABETH,SWANN,3
SWANN,WILL,3
JACK,MULLROY,3
JACK,MURTOGG,3
JACK,PRISONER,3
GILLETTE,JACK,3
GILLETTE,NORRINGTON,3
ANAMARIA,COTTON'S PARROT,3
ANAMARIA,GIBBS,3
BARBOSSA,TWIGG,3
PINTEL,WILL,3
JACK,MULLR0Y,2
MULLROY,NORRINGTON,2
MULLROY,SWANN,2
MURTOGG,NORRINGTON,2
MURTOGG,SWANN,2
JACK,TWIGG,2
KOEHLER,TWIGG,2
BARBOSSA,NO!,2
ELIZABETH,NO!,2
NO!,PINTEL,2
MULLROY,WILL,2
MURTOGG,WILL,2
GILLETTE,WILL,2
COTTON'S PARROT,GIBBS,2
COTTON'S PARROT,JACK,2
COTTON'S PARROT,WILL,2
BARBOSSA,JACOBY,2
JACOBY,TWIGG,2
BARBOSSA,KOEHLER,2
ELIZABETH,TWIGG,2
PINTEL,TWIGG,2
EIGHT YEARS LATER,ELIZABETH,1
EIGHT YEARS LATER,GIBBS,1
EIGHT YEARS LATER,NORRINGTON,1
EIGHT YEARS LATER,SWAN,1
EIGHT YEARS LATER,WILL,1
ELIZABETH,SWAN,1
GIBBS,NORRINGTON,1
GIBBS,SWAN,1
NORRINGTON,SWAN,1
SWAN,WILL,1
BUTLER,ELIZABETH,1
BUTLER,SWANN,1
HARBORMASTER,JACK,1
MULLR0Y,MULLROY,1
MULLR0Y,MURTOGG,1
GILLETTE,NORRINGTON ELIZABETH!,1
GLINTS -,JACK,1
GLINTS -,MULLR0Y,1
ELIZABETH,MULLROY,1
ELIZABETH,MURTOGG,1
JACK,SWANN,1
BROWN,JACK,1
BROWN,NORRINGTON,1
BROWN,WILL,1
ELIZABETH,ESTRELLA,1
ELIZABETH,SMOLDERING PIRATE,1
PINTEL,SMOLDERING PIRATE,1
JACK,KOEHLER,1
JACK,PRISIONER,1
KOEHLER,PRISIONER,1
KOEHLER,PRISONER,1
PRISIONER,PRISONER,1
PRISIONER,TWIGG,1
PRISONER,TWIGG,1
BARBOSSA,BOSUN,1
BOSUN,ELIZABETH,1
BOSUN,NO!,1
BOSUN,PINTEL,1
GILLETTE,MULLROY,1
GILLETTE,MURTOGG,1
JACK,SENTRY,1
NORRINGTON,SENTRY,1
GILLETTE,STEERSMAN,1
JACK,STEERSMAN,1
NORRINGTON,STEERSMAN,1
BARBOSSA,SKELETONS. .,1
ANAMARIA,SLAP!,1
JACK,SLAP!,1
SLAP!,WILL,1
BARBOSSA,DEADEYE,1
DEADEYE,ELIZABETH,1
DEADEYE,JACOBY,1
DEADEYE,KOEHLER,1
DEADEYE,PINTEL,1
DEADEYE,TWIGG,1
ELIZABETH,JACOBY,1
ELIZABETH,KOEHLER,1
JACOBY,KOEHLER,1
JACOBY,PINTEL,1
KOEHLER,PINTEL,1
ANAMARIA,ELIZABETH,1
COTTON'S PARROT,ELIZABETH,1
BARBOSSA,GIBBS,1
GIBBS,NO!,1
GIBBS,PINTEL,1
GIBBS,TWIGG,1
JACK,NO!,1
NO!,TWIGG,1
NO!,WILL,1
TWIGG,WILL,1
ELIZABETH,JACK/ELIZABETH,1
JACK,JACK/ELIZABETH,1
ELIZABETH,ELIZABETII,1
ELIZABETII,JACK,1
ELIZABETII,NORRINGTON,1
ELIZABETH,LAND HO!,1
ELIZABETH,LOOKOUT,1
JACK,LAND HO!,1
JACK,LOOKOUT,1
LAND HO!,LOOKOUT,1
LAND HO!,NORRINGTON,1
LOOKOUT,NORRINGTON,1
SHORT SAILOR,TALL SAILOR,1
BIG-BONES,BONED,1
BIG-BONES,SKINNY,1
BONED,SKINNY,1
- - AND DRIVES THE SWORD INTO JACK'S CHEST.,A SHOT RINGS OUT -,1
- - AND DRIVES THE SWORD INTO JACK'S CHEST.,BARBOSSA,1
- - AND DRIVES THE SWORD INTO JACK'S CHEST.,JACK,1
- - AND DRIVES THE SWORD INTO JACK'S CHEST.,WILL,1
A SHOT RINGS OUT -,BARBOSSA,1
A SHOT RINGS OUT -,JACK,1
A SHOT RINGS OUT -,WILL,1
GILLETTE,SWANN,1
